"index","eco","group","subgroup","variant","pgn","san","fen","mv","board"
"1277","C55","Open Games and the French Defense","Two knights","Max Lange attack, Marshall Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Bc5 6. e5 d5 7. exf6 dxc4 8. Re1+ Be6 9. Ng5 Qd5 10. Nc3 Qf5 11. Nce4","Nce4","r3k2r/ppp2ppp/2n1bP2/2b2qN1/2pp4/2N5/PPP2PPP/R1BQR1K1 w kq - 6 11","11. Nce4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b -w -b kw -b -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b nw -b bw Pb -w -b || 
5| -b -w bb -w -b qw Nb -w || 
4| -w -b pw pb Nw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb -w Bb Qw Rb -w Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1278","C55","Open Games and the French Defense","Two knights","Max Lange attack, Rubinstein Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Bc5 6. e5 d5 7. exf6 dxc4 8. Re1+ Be6 9. Ng5 Qd5 10. Nc3 Qf5 11. Nce4 Bf8","Bf8","r3k2r/ppp2ppp/2n1bP2/2b2qN1/2ppN3/8/PPP2PPP/R1BQR1K1 b kq - 7 11","11.  ... Bf8","tl -- -- -- -- -- -- -- -- tr 
8| rw -b -w -b kw bb -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b nw -b bw Pb -w -b || 
5| -b -w -b -w -b qw Nb -w || 
4| -w -b pw pb Nw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb -w Bb Qw Rb -w Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1279","C55","Open Games and the French Defense","Two knights","Max Lange attack, Loman defense","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Bc5 6. e5 d5 7. exf6 dxc4 8. Re1+ Be6 9. Ng5 g6","g6","r2qk2r/ppp2ppp/2n1bP2/2b3N1/2pp4/8/PPP2PPP/RNBQR1K1 b kq - 3 9","9.  ... g6","tl -- -- -- -- -- -- -- -- tr 
8| rw -b -w qb kw -b -w rb || 
7| pb pw pb -w -b pw -b pw || 
6| -w -b nw -b bw Pb pw -b || 
5| -b -w bb -w -b -w Nb -w || 
4| -w -b pw pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Rb -w Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1280","C55","Open Games and the French Defense","Two knights","Max Lange attack, Schlechter Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Bc5 6. e5 d5 7. exf6 dxc4 8. Re1+ Be6 9. fxg7","fxg7","r2qk2r/ppp2ppp/2n1bP2/2b5/2pp4/5N2/PPP2PPP/RNBQR1K1 w kq - 2 9","9. fxg7 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b -w qb kw -b -w rb || 
7| pb pw pb -w -b pw Pb pw || 
6| -w -b nw -b bw -b -w -b || 
5| -b -w bb -w -b -w -b -w || 
4| -w -b pw pb -w -b -w -b || 
3| -b -w -b -w -b Nw -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Rb -w Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1281","C55","Open Games and the French Defense","Two knights","Max Lange attack, Steinitz Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Bc5 6. e5 Ng4","Ng4","r1bqk2r/pppp1ppp/2n2n2/2b1P3/2Bp4/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6","6.  ... Ng4","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw -b -w rb || 
7| pb pw pb pw -b pw pb pw || 
6| -w -b nw -b -w -b -w -b || 
5| -b -w bb -w Pb -w -b -w || 
4| -w -b Bw pb -w -b nw -b || 
3| -b -w -b -w -b Nw -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw -b Rw Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1282","C55","Open Games and the French Defense","Two knights","Max Lange attack, Krause Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Bc5 6. e5 Ng4 7. c3","c3","r1bqk2r/pppp1ppp/2n5/2b1P3/2Bp2n1/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 7","7. c3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw -b -w rb || 
7| pb pw pb pw -b pw pb pw || 
6| -w -b nw -b -w -b -w -b || 
5| -b -w bb -w Pb -w -b -w || 
4| -w -b Bw pb -w -b nw -b || 
3| -b -w Pb -w -b Nw -b -w || 
2| Pw Pb -w -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw -b Rw Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1283","C56","Open Games and the French Defense","Two knights defense","?","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Nxe4","Nxe4","r1bqkb1r/pppp1ppp/2n2n2/8/2BpP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 1 5","5.  ... Nxe4","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb pw -b pw pb pw || 
6| -w -b nw -b -w -b -w -b || 
5| -b -w -b -w -b -w -b -w || 
4| -w -b Bw pb nw -b -w -b || 
3| -b -w -b -w -b Nw -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw -b Rw Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1284","C56","Open Games and the French Defense","Two knights defense","Yurdansky attack","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Nxe4 6. Re1 d5 7. Bxd5 Qxd5 8. Nc3 Qa5 9. Nxe4 Be6 10. Bg5 h6 11. Bh4 g5 12. Nf6+ Ke7 13. b4","b4","r4b1r/ppp1kp2/2n1bN1p/q5p1/3p3B/5N2/PPP2PPP/R2QR1K1 w - - 2 13","13. b4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b -w -b -w bb -w rb || 
7| pb pw pb -w kb pw -b -w || 
6| -w -b nw -b bw Nb -w pb || 
5| qb -w -b -w -b -w pb -w || 
4| -w Pb -w pb -w -b -w Bb || 
3| -b -w -b -w -b Nw -b -w || 
2| Pw -b Pw -b -w Pb Pw Pb || 
1| Rb -w -b Qw Rb -w Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1285","C56","Open Games and the French Defense","Two knights defense","Canal Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Nxe4 6. Re1 d5 7. Nc3","Nc3","r1bqkb1r/ppp2ppp/2n5/3p4/2Bpn3/5N2/PPP2PPP/RNBQR1K1 w kq - 0 7","7. Nc3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b nw -b -w -b -w -b || 
5| -b -w -b pw -b -w -b -w || 
4| -w -b Bw pb nw -b -w -b || 
3| -b -w Nb -w -b Nw -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb -w Bb Qw Rb -w Kb -w || 
bl a- b- c- d- e- f- g- h- br 
"
"1286","C57","Open Games and the French Defense","Two knights defense","?","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5","Ng5","r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4","4. Ng5 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb pw -b pw pb pw || 
6| -w -b nw -b -w nb -w -b || 
5| -b -w -b -w pb -w Nb -w || 
4| -w -b Bw -b Pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1287","C57","Open Games and the French Defense","Two knights defense","Wilkes Barre (Traxler) Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5","Bc5","r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4","4.  ... Bc5","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw -b -w rb || 
7| pb pw pb pw -b pw pb pw || 
6| -w -b nw -b -w nb -w -b || 
5| -b -w bb -w pb -w Nb -w || 
4| -w -b Bw -b Pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1288","C57","Open Games and the French Defense","Two knights defense","Ulvestad Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 b5","b5","r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5","5.  ... b5","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb -w pb -w -b pw pb pw || 
6| -w -b nw -b -w nb -w -b || 
5| -b pw -b Pw pb -w Nb -w || 
4| -w -b Bw -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1289","C57","Open Games and the French Defense","Two knights defense","Fritz Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nd4","Nd4","r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5","5.  ... Nd4","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| -b -w -b Pw pb -w Nb -w || 
4| -w -b Bw nb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1290","C57","Open Games and the French Defense","Two knights defense","Fritz, Gruber Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nd4 6. c3 b5 7. Bf1 Nxd5 8. Ne4","Ne4","r1bqkb1r/p1p2ppp/8/1p1np1N1/3n4/2P5/PP1P1PPP/RNBQKB1R w KQkq - 0 8","8. Ne4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb -w pb -w -b pw pb pw || 
6| -w -b -w -b -w -b -w -b || 
5| -b pw -b nw pb -w -b -w || 
4| -w -b -w nb Nw -b -w -b || 
3| -b -w Pb -w -b -w -b -w || 
2| Pw Pb -w Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb Bw -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1291","C57","Open Games and the French Defense","Two knights defense","Lolli attack","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. d4","d4","r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq - 0 6","6. d4 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b nw -b -w -b -w -b || 
5| -b -w -b nw pb -w Nb -w || 
4| -w -b Bw Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1292","C57","Open Games and the French Defense","Two knights defense","Pincus Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. d4 Bb4+","Bb4+","r1bqkb1r/ppp2ppp/2n5/3np1N1/2BP4/8/PPP2PPP/RNBQK2R b KQkq - 0 6","6.  ... Bb4+","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw -b -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b nw -b -w -b -w -b || 
5| -b -w -b nw pb -w Nb -w || 
4| -w bb Bw Pb -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1293","C57","Open Games and the French Defense","Two knights defense","Fegatello attack","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. Nxf7","Nxf7","r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq - 0 6","6. Nxf7 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb -w -b Nw pb pw || 
6| -w -b nw -b -w -b -w -b || 
5| -b -w -b nw pb -w -b -w || 
4| -w -b Bw -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1294","C57","Open Games and the French Defense","Two knights defense","Fegatello attack, Leonhardt Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. Nxf7 Kxf7 7. Qf3+ Ke6 8. Nc3 Nb4 9. Qe4 c6 10. a3 Na6 11. d4 Nc7","Nc7","r1bq1b1r/pp4pp/n1p1k3/3np3/2BPQ3/P1N5/1PP2PPP/R1B1K2R b KQ - 0 11","11.  ... Nc7","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb -w bb -w rb || 
7| pb pw nb -w -b -w pb pw || 
6| -w -b pw -b kw -b -w -b || 
5| -b -w -b nw pb -w -b -w || 
4| -w -b Bw Pb Qw -b -w -b || 
3| Pb -w Nb -w -b -w -b -w || 
2| -w Pb Pw -b -w Pb Pw Pb || 
1| Rb -w Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1295","C57","Open Games and the French Defense","Two knights defense","Fegatello attack, Polerio defense","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. Nxf7 Kxf7 7. Qf3+ Ke6 8. Nc3 Ne7","Ne7","r1bq1b1r/ppp3pp/2n1k3/3np3/2B5/2N2Q2/PPPP1PPP/R1B1K2R b KQ - 3 8","8.  ... Ne7","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb -w bb -w rb || 
7| pb pw pb -w nb -w pb pw || 
6| -w -b -w -b kw -b -w -b || 
5| -b -w -b nw pb -w -b -w || 
4| -w -b Bw -b -w -b -w -b || 
3| -b -w Nb -w -b Qw -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb -w Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1296","C58","Open Games and the French Defense","Two knights defense","?","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5","Na5","r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5","5.  ... Na5","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| nb -w -b Pw pb -w Nb -w || 
4| -w -b Bw -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1297","C58","Open Games and the French Defense","Two knights defense","Kieseritsky Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. d3","d3","r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq - 1 6","6. d3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| nb -w -b Pw pb -w Nb -w || 
4| -w -b Bw -b -w -b -w -b || 
3| -b -w -b Pw -b -w -b -w || 
2| Pw Pb Pw -b -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1298","C58","Open Games and the French Defense","Two knights defense","Yankovich Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. d3 h6 7. Nf3 e4 8. Qe2 Nxc4 9. dxc4 Bc5 10. Nfd2","Nfd2","r1bqk2r/ppp2pp1/5n1p/2bP4/2P1p3/5N2/PPP1QPPP/RNB1K2R w KQkq - 1 10","10. Nfd2 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw -b -w rb || 
7| pb pw pb -w -b pw pb -w || 
6| -w -b -w -b -w nb -w pb || 
5| -b -w bb Pw -b -w -b -w || 
4| -w -b Pw -b pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Nb Qw Pb Pw Pb || 
1| Rb Nw Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1299","C58","Open Games and the French Defense","Two knights defense","Maroczy Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. d3 h6 7. Nf3 e4 8. Qe2 Nxc4 9. dxc4 Be7","Be7","r1bqkb1r/ppp2pp1/5n1p/3P4/2P1p3/5N2/PPP1QPPP/RNB1K2R b KQkq - 0 9","9.  ... Be7","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw -b -w rb || 
7| pb pw pb -w bb pw pb -w || 
6| -w -b -w -b -w nb -w pb || 
5| -b -w -b Pw -b -w -b -w || 
4| -w -b Pw -b pw -b -w -b || 
3| -b -w -b -w -b Nw -b -w || 
2| Pw Pb Pw -b Qw Pb Pw Pb || 
1| Rb Nw Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1300","C58","Open Games and the French Defense","Two knights defense","?","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+","Bb5+","r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq - 1 6","6. Bb5+ ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb pw pb -w -b pw pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| nb Bw -b Pw pb -w Nb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1301","C58","Open Games and the French Defense","Two knights defense","Bogolyubov Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Qf3","Qf3","r1bqkb1r/p4ppp/2p2n2/nB2p1N1/8/8/PPPP1PPP/RNBQK2R w KQkq - 0 8","8. Qf3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb -w -b -w -b pw pb pw || 
6| -w -b pw -b -w nb -w -b || 
5| nb Bw -b -w pb -w Nb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b Qw -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1302","C58","Open Games and the French Defense","Two knights defense","Paoli Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Qf3 Qc7 9. Bd3","Bd3","r1b1kb1r/p1q2ppp/2p2n2/nB2p1N1/8/5Q2/PPPP1PPP/RNB1K2R w KQkq - 2 9","9. Bd3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw -b kw bb -w rb || 
7| pb -w qb -w -b pw pb pw || 
6| -w -b pw -b -w nb -w -b || 
5| nb -w -b -w pb -w Nb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b Bw -b Qw -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1303","C58","Open Games and the French Defense","Two knights defense","Colman Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Qf3 Rb8","Rb8","r1bqkb1r/p4ppp/2p2n2/nB2p1N1/8/5Q2/PPPP1PPP/RNB1K2R b KQkq - 1 8","8.  ... Rb8","tl -- -- -- -- -- -- -- -- tr 
8| -w rb bw qb kw bb -w rb || 
7| pb -w -b -w -b pw pb pw || 
6| -w -b pw -b -w nb -w -b || 
5| nb Bw -b -w pb -w Nb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b Qw -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1304","C58","Open Games and the French Defense","Two knights defense","Blackburne Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Qf3 cxb5","cxb5","r1bqkb1r/p4ppp/2p2n2/nB2p1N1/8/5Q2/PPPP1PPP/RNB1K2R b KQkq - 1 8","8.  ... cxb5","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb -w -b -w -b pw pb pw || 
6| -w -b -w -b -w nb -w -b || 
5| nb pw -b -w pb -w Nb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b Qw -b -w || 
2| Pw Pb Pw Pb -w Pb Pw Pb || 
1| Rb Nw Bb -w Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1305","C58","Open Games and the French Defense","Two knights defense","?","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Be2","Be2","r1bqkb1r/p4ppp/2p2n2/nB2p1N1/8/8/PPPP1PPP/RNBQK2R w KQkq - 0 8","8. Be2 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb -w -b -w -b pw pb pw || 
6| -w -b pw -b -w nb -w -b || 
5| nb -w -b -w pb -w Nb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb Bw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1306","C59","Open Games and the French Defense","Two knights defense","?","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Be2 h6","h6","r1bqkb1r/p4ppp/2p2n2/n3p1N1/8/8/PPPPBPPP/RNBQK2R b KQkq - 1 8","8.  ... h6","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb -w -b -w -b pw pb -w || 
6| -w -b pw -b -w nb -w pb || 
5| nb -w -b -w pb -w Nb -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb Bw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1307","C59","Open Games and the French Defense","Two knights defense","Knorre Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Be2 h6 9. Nf3 e4 10. Ne5 Bd6 11. d4 Qc7 12. Bd2","Bd2","r1b1k2r/p1q2pp1/2pb1n1p/n3N3/3Pp3/8/PPP1BPPP/RNBQK2R w KQkq - 1 12","12. Bd2 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw -b kw -b -w rb || 
7| pb -w qb -w -b pw pb -w || 
6| -w -b pw bb -w nb -w pb || 
5| nb -w -b -w Nb -w -b -w || 
4| -w -b -w Pb pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Bb Bw Pb Pw Pb || 
1| Rb Nw -b Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1308","C59","Open Games and the French Defense","Two knights defense","Goering Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Be2 h6 9. Nf3 e4 10. Ne5 Qc7","Qc7","r1bqkb1r/p4pp1/2p2n1p/n3N3/4p3/8/PPPPBPPP/RNBQK2R b KQkq - 1 10","10.  ... Qc7","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw -b kw bb -w rb || 
7| pb -w qb -w -b pw pb -w || 
6| -w -b pw -b -w nb -w pb || 
5| nb -w -b -w Nb -w -b -w || 
4| -w -b -w -b pw -b -w -b || 
3| -b -w -b -w -b -w -b -w || 
2| Pw Pb Pw Pb Bw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
"1309","C59","Open Games and the French Defense","Two knights defense","Steinitz Variation ","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Be2 h6 9. Nh3","Nh3","r1bqkb1r/p4pp1/2p2n1p/n3p1N1/8/8/PPPPBPPP/RNBQK2R w KQkq - 0 9","9. Nh3 ... ","tl -- -- -- -- -- -- -- -- tr 
8| rw -b bw qb kw bb -w rb || 
7| pb -w -b -w -b pw pb -w || 
6| -w -b pw -b -w nb -w pb || 
5| nb -w -b -w pb -w -b -w || 
4| -w -b -w -b -w -b -w -b || 
3| -b -w -b -w -b -w -b Nw || 
2| Pw Pb Pw Pb Bw Pb Pw Pb || 
1| Rb Nw Bb Qw Kb -w -b Rw || 
bl a- b- c- d- e- f- g- h- br 
"
